,Pitcher,Team,Opponent,Expected K Rate,Expected Batters Faced,Prob 1+ K,Prob 2+ K,Prob 3+ K,Prob 4+ K,Prob 5+ K,Prob 6+ K,Prob 7+ K,Prob 8+ K,Prob 9+ K,Prob 10+ K,Prob 11+ K,Prob 12+ K
1,Matthew Boyd,Chicago Cubs,New York Mets,0.5,20.0,0.9999990463256836,0.9999799728393555,0.9997987747192383,0.9987115859985352,0.9940910339355469,0.9793052673339844,0.9423408508300781,0.8684120178222656,0.7482776641845703,0.5880985260009766,0.41190147399902344,0.2517223358154297
2,MacKenzie Gore,Texas Rangers,Toronto Blue Jays,0.365,21.0,0.9999280371624856,0.9990590858994982,0.9940626161373214,0.9758671387533939,0.9287863410224818,0.8367433814585485,0.6956108434605174,0.5217153948558005,0.3467330996973027,0.20140058232955158,0.10112114534580328,0.043460469080148015
3,Cam Schlittler,New York Yankees,Boston Red Sox,0.344,21.3,0.9998559691098701,0.9982716293184413,0.9899727066014333,0.9624413598100894,0.8975460423733501,0.7819705722717287,0.6205318203837497,0.439325058060508,0.2732188592642029,0.1475406241960991,0.06854287643900527,0.027163103804337067
4,Cristopher Sánchez,Philadelphia Phillies,Washington Nationals,0.284,24.7,0.9997622591852373,0.9974072794163619,0.986210017119067,0.9521956920272846,0.8780701345159474,0.7547140180536843,0.5917908453676766,0.4165715841770645,0.26036195981373583,0.14345035415816274,0.06933280793123339,0.029286449335208117
5,Kevin Gausman,Toronto Blue Jays,Texas Rangers,0.29,23.0,0.9996189510636387,0.9960417569671864,0.9799808855137272,0.9340926813609862,0.8404432851309028,0.6951911603658755,0.5173314157556392,0.34102729573382945,0.19710556510378063,0.0991996258996658,0.04325337492588589,0.016266315086956813
6,Jeffrey Springs,Athletics,San Francisco Giants,0.261,23.0,0.9990437202412797,0.9912809786704923,0.9611432761015524,0.8866854226959363,0.7552892108036726,0.5790637030893426,0.39247198903887415,0.23253623413847363,0.1196404071499556,0.05323109715670969,0.020417085160047015,0.006729957161439051
7,Freddy Peralta,New York Mets,Chicago Cubs,0.265,22.7,0.9991515913114312,0.9921267673700812,0.9643084645623355,0.8942063414868162,0.7680225199508817,0.5954030520897231,0.4089740267996732,0.24598179326037123,0.12862738511207378,0.058214740223095335,0.022726767199050195,0.007628247767001901
8,Seth Lugo,Kansas City Royals,Tampa Bay Rays,0.244,22.5,0.9979017324132134,0.9829670042954972,0.9322328543661965,0.8228062564794696,0.6546433229623673,0.4587829651012709,0.27924430372859976,0.14647621800763286,0.06593675424307571,0.025403821498821463,0.00835614684462041,0.0023393204960788622
9,Landen Roupp,San Francisco Giants,Athletics,0.229,24.0,0.998063347590133,0.984245070935947,0.937001503456095,0.8340020139955167,0.6732392973374519,0.4820620126629973,0.30207979420821723,0.1644872102157599,0.07756216559890342,0.03161979967527956,0.011131987844474328,0.003379842827412892
10,Casey Legumina,Tampa Bay Rays,Kansas City Royals,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
11,Bryce Miller,Seattle Mariners,Pittsburgh Pirates,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
12,Troy Melton,Detroit Tigers,Houston Astros,0.219,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
13,Tatsuya Imai,Houston Astros,Detroit Tigers,0.321,14.0,0.995611278981634,0.9665071290703646,0.8768969832909301,0.7071093386562122,0.48593859103993564,0.27640840908767284,0.1275317008584334,0.046936791140348905,0.013532321980879686,0.002983542246310458,0.00048514704601774653,5.480146127833208e-05
14,Connelly Early,Boston Red Sox,New York Yankees,0.225,20.0,0.9938901007333781,0.9584132662820252,0.8605658680371646,0.6901220130299883,0.4798162887066182,0.2844354867545833,0.14262684017649346,0.06028633571179615,0.021440210621596213,0.0064030009092607525,0.0016007952269342664,0.00033335091195073666
15,Bubba Chandler,Pittsburgh Pirates,Seattle Mariners,0.182,22.0,0.987902485977423,0.9287590840892692,0.7907578130169102,0.586311485502304,0.3705070286813298,0.19786346322455128,0.08916195904806107,0.033948496609208886,0.01094288725968714,0.002990330941333944,0.0006929257826985759,0.00013597907757485035
16,Zac Gallen,Arizona Diamondbacks,St. Louis Cardinals,0.136,22.0,0.9602552066839631,0.8221943456914139,0.5933039708879772,0.35236673425278076,0.1716638067763833,0.06894845852664158,0.022996855362283453,0.0064128181300339045,0.0015030702652231828,0.0002971672808837071,4.963982620349899e-05,7.003518220305251e-06
17,Cade Cavalli,Washington Nationals,Philadelphia Phillies,0.14,19.0,0.943492868341696,0.7682054395241,0.5106402379962035,0.27234862297719764,0.11672960908723459,0.04050805126357924,0.01147126733075815,0.002667111269494614,0.0005109914177566053,8.074527954131104e-05,1.0501012077589546e-05,1.11773330692545e-06
18,Michael McGreevy,St. Louis Cardinals,Arizona Diamondbacks,0.115,20.3,0.9126468649329077,0.6861757740182239,0.4072808194658819,0.19036252148072685,0.07085660731297938,0.021283783658210063,0.00521851673305334,0.0010534475302349294,0.00017608341575234772,2.4440235471407682e-05,2.817041246162524e-06,2.6885337450063674e-07
