,Pitcher,Team,Opponent,Site,Season K Rate,Home/Away x,Opp x,Weather,Wx x,Expected K Rate,Expected Batters Faced,Prob 1+ K,Prob 2+ K,Prob 3+ K,Prob 4+ K,Prob 5+ K,Prob 6+ K,Prob 7+ K,Prob 8+ K,Prob 9+ K,Prob 10+ K,Prob 11+ K,Prob 12+ K
1,Gavin Williams,Cleveland Guardians,Chicago White Sox,Home,0.328,1.014,1.066,85°F,0.977,0.347,22.3,0.9999148437714637,0.9989199498271499,0.9933723672661544,0.9737319729405761,0.9241890642810202,0.8294734262959966,0.6869595844905366,0.5139713054665784,0.3417227303699122,0.19943126498507605,0.10119770299188567,0.044288023370820453
2,Dylan Cease,Toronto Blue Jays,Seattle Mariners,Away,0.311,0.984,1.065,62°F,1.011,0.33,22.5,0.9998503496938012,0.9982295021791026,0.9898508661039088,0.9623514205854701,0.8980442479576841,0.7840707742208927,0.6250904695550941,0.44619178945925697,0.28105255109535887,0.15458541836585715,0.0736454755093344,0.030175106867734162
3,David Peterson,Chicago Cubs,St. Louis Cardinals,Home,0.25,1.006,0.958,76°F,0.991,0.239,24.0,0.998559384616136,0.9877239845146799,0.9486733175871037,0.8589272260438598,0.7112680264117285,0.5261681350047134,0.34247447086664984,0.19444291465023333,0.09586062477503401,0.04093664006786143,0.015117667316080313,0.004819499319802518
4,Jake Bennett,Boston Red Sox,Los Angeles Angels,Away,0.219,1.0,1.12,68°F,1.003,0.246,22.3,0.9980052621126861,0.983673680958944,0.9345298513915732,0.8275348898541266,0.6615599475202596,0.466426994454454,0.28587018251084045,0.15109143680426945,0.0685621157538156,0.026636505923323166,0.008836984296826814,0.0024956232395541623
5,Mike Paredes,Minnesota Twins,New York Yankees,Away,0.219,1.0,1.12,93°F,0.965,0.237,22.3,0.9973837243804061,0.9795221926587129,0.9213225226064852,0.8009182806693744,0.6234388930250544,0.4251661811834888,0.2508357750748774,0.12718193476806722,0.05523349093317313,0.02050231759201352,0.006491117600238199,0.0017478632112370453
6,Reid Detmers,Los Angeles Angels,Boston Red Sox,Home,0.233,0.931,0.999,68°F,1.003,0.217,24.3,0.9972105191386171,0.9786176841165415,0.9192357356111411,0.7982966005985503,0.6219621579505841,0.4260740241732458,0.25379933807289623,0.13077050059201048,0.05816377647067944,0.02231574568898533,0.007382041280543901,0.0021035004007657556
7,Michael King,San Diego Padres,Los Angeles Dodgers,Away,0.192,0.995,1.12,66°F,1.007,0.215,24.3,0.9970055875397095,0.9773176505888787,0.9152914188853661,0.7906810533019122,0.6114592592216146,0.41506528495232103,0.2446895053172891,0.12466783453095583,0.054796996945465234,0.02076787292847366,0.006784260595857312,0.001908615638431377
8,Jose Cabrera,Arizona Diamondbacks,Milwaukee Brewers,Home,0.219,1.0,1.09,89°F,0.971,0.232,22.3,0.996990882040165,0.9769972275716399,0.9135939410574812,0.7859351286752454,0.6027987179572838,0.4036821088659084,0.23329550468703397,0.11567374325019081,0.04906684043420444,0.017774715560760053,0.005488766913810159,0.001440887696245206
9,Trevor Rogers,Baltimore Orioles,Cincinnati Reds,Away,0.208,1.022,1.041,88°F,0.973,0.216,24.0,0.9970671662163688,0.9777064325877156,0.91646536288102,0.7929368219129604,0.6145553541541973,0.4182948807035144,0.2473491296917098,0.12644089135867104,0.05577042689754522,0.02121322768376131,0.006955414714089186,0.001964141055477443
10,Gerrit Cole,New York Yankees,Minnesota Twins,Home,0.219,1.0,1.082,93°F,0.965,0.229,22.3,0.99669856887522,0.9751603542585026,0.9080972307345107,0.7755174500884046,0.588769568612374,0.38940730206339447,0.22190321373301236,0.10836759472872196,0.04524015409460402,0.016120347487728198,0.00489456516418322,0.0012630324939935668
11,Christian Scott,New York Mets,Atlanta Braves,Away,0.219,1.0,0.918,87°F,0.975,0.196,22.3,0.9917979162176374,0.9477684860040766,0.8349634346410397,0.6514645318375978,0.4387861904620616,0.25196680087542267,0.12281043904705721,0.05077703659347489,0.01782127258915875,0.005312546180369837,0.0013447200854339995,0.0002885414617026948
12,Spencer Arrighetti,Houston Astros,Tampa Bay Rays,Home,0.219,1.0,0.88,82°F,0.981,0.189,22.3,0.9900981749049503,0.9392543402318294,0.8146514938591367,0.6207696815926724,0.4058228506559425,0.22521612728238227,0.1057810346005001,0.04206419008261507,0.014180137164718921,0.004056378333346716,0.000984630861829735,0.00020250897975567072
13,Grant Holmes,Atlanta Braves,New York Mets,Home,0.197,0.989,0.941,87°F,0.975,0.179,22.0,0.9868887398206422,0.9240764346563204,0.7804575179462666,0.5719613856059738,0.35630157062391976,0.18723826955119732,0.08292858520898172,0.031009839805677973,0.009811440087374475,0.0026307494141652624,0.0005979843571488619,0.00011508862947298674
14,Kyle Harrison,Milwaukee Brewers,Arizona Diamondbacks,Away,0.175,1.078,1.0,89°F,0.971,0.183,20.0,0.9825019959995634,0.9040427224423264,0.7369360991204041,0.5121493587793853,0.2979661625243538,0.14430604919103757,0.05818150559628017,0.019564134576564637,0.005495179412206822,0.001289594966204438,0.000252437212212604,4.105039050211164e-05
15,Nick Martinez,Tampa Bay Rays,Houston Astros,Away,0.19,1.006,0.88,82°F,0.981,0.165,21.0,0.9775834658638022,0.8842618290850444,0.6992596117771176,0.4669838644389761,0.25977374259093117,0.12010974475856226,0.04627720839950838,0.01491290883287952,0.004031923417555098,0.0009161658586452338,0.0001749588971443637,2.802091352667296e-05
16,Jack Perkins,Athletics,Miami Marlins,Home,0.35,1.003,0.957,72°F,0.996,0.335,10.0,0.9830150663546116,0.8975604910474959,0.7040879661014843,0.44451497750605945,0.21597140507723392,0.07798963137949194,0.02013848852921034,0.003506454695947003,0.00036848971168067284,1.7651373738760752e-05,0.0,0.0
17,Foster Griffin,Washington Nationals,Pittsburgh Pirates,Home,0.146,1.077,1.034,93°F,0.966,0.157,20.5,0.9673815766293877,0.8456095010683666,0.6296729993702371,0.3878308137219471,0.19597465865508362,0.08137575510318325,0.0278977475061601,0.00793317745945242,0.0018774255534610897,0.0003702579214421117,6.079473624695852e-05,8.281225508269687e-06
18,Mitch Keller,Pittsburgh Pirates,Washington Nationals,Away,0.159,1.0,0.88,93°F,0.966,0.135,23.0,0.9648495257444759,0.8381644604879825,0.6197987217993419,0.380274778090838,0.19260889255726638,0.08086203386605578,0.028330150329429572,0.008338886595423698,0.002073662078006593,0.0004374040781820026,7.844394881720033e-05,1.1968194408724712e-05
19,Luis Castillo,Seattle Mariners,Toronto Blue Jays,Home,0.171,0.98,0.88,62°F,1.011,0.149,20.5,0.9602134914118835,0.8210137957272181,0.5896825207800829,0.34687727685924696,0.16635971780319317,0.06530842105745538,0.021115331946625304,0.005653647134627926,0.0012584066591627507,0.00023324149915100707,3.597243521377024e-05,4.600684242131168e-06
20,Anthony Kay,Chicago White Sox,Cleveland Guardians,Away,0.14,1.109,0.88,85°F,0.977,0.133,21.5,0.9568317876686563,0.8110012802110408,0.5758759988916957,0.3351795343635218,0.15961978066845176,0.06257121844241945,0.020348283435956172,0.005528836245640778,0.0012621086413449804,0.00024294930837538725,3.950428052582095e-05,5.424461237368647e-06
21,Brady Singer,Cincinnati Reds,Baltimore Orioles,Home,0.141,0.898,1.02,88°F,0.973,0.125,21.3,0.9398473560175707,0.758928021788158,0.4998109985825583,0.26477236326713205,0.11328976854452544,0.039524382877390386,0.01135143352609707,0.0027050101250795724,0.000537877391846989,8.954788837952205e-05,1.249489223721237e-05,1.459176748589947e-06
22,Tyler Phillips,Miami Marlins,Athletics,Away,0.27,0.997,1.062,72°F,0.996,0.285,9.2,0.9513151089327819,0.7764490262979558,0.4973010772388956,0.2373568988004272,0.0817459238455076,0.01964342252674206,0.0031205062343037486,0.0002944630992955263,1.2502994024063363e-05,0.0,0.0,0.0
23,Andre Pallante,St. Louis Cardinals,Chicago Cubs,Away,0.082,1.015,1.068,76°F,0.991,0.088,24.5,0.8892811028096989,0.6340939669829723,0.3522670937947975,0.15379035617804113,0.0537224758292172,0.015282732746370218,0.003592891552503591,0.0007061436373840202,0.00011703745614091998,1.64608822900768e-05,1.9727006971076093e-06,2.0187826155410616e-07
24,Ryan Feltner,Colorado Rockies,San Francisco Giants,Home,0.109,0.915,0.928,78°F,0.988,0.091,23.0,0.8890473587819214,0.6330607009816666,0.35059750776472065,0.15225684797640274,0.052777344932289354,0.0148572817051434,0.0034457968912968134,0.0006657963074090346,0.00010806280618410836,1.481742457295477e-05,1.7223729307642965e-06,1.6995113428164512e-07
25,Shohei Ohtani,Los Angeles Dodgers,San Diego Padres,Home,0.083,1.0,0.88,66°F,1.007,0.074,24.0,0.8412478645596335,0.5375844153260918,0.2592595136738026,0.09658661945525632,0.02851968366899351,0.006819775567726996,0.0013430377819007447,0.0002206107521488072,3.0512224065315285e-05,3.5771651041309516e-06,3.570537309935116e-07,3.041479932990842e-08
