,#,Pitcher,Team,Opponent,Mean Strikeouts,Expected Batters Faced,Prob 1+ K,Prob 2+ K,Prob 3+ K,Prob 4+ K,Prob 5+ K,Prob 6+ K,Prob 7+ K,Prob 8+ K,Prob 9+ K,Prob 10+ K,Prob 11+ K,Prob 12+ K
1,16,Matthew Boyd,Cubs,Twins,10.0,20.0,0.9999990463256836,0.9999799728393555,0.9997987747192383,0.9987115859985352,0.9940910339355469,0.9793052673339844,0.9423408508300781,0.8684120178222656,0.7482776641845703,0.5880985260009766,0.41190147399902344,0.2517223358154297
2,44,Jesús Luzardo,Phillies,Mets,9.5,23.5,0.9999960056679804,0.9999309551179473,0.9994233285042957,0.9968972817839822,0.987898240342865,0.9634722707169755,0.910985514556582,0.8194014808481405,0.6873405750989143,0.5280290062585781,0.36587258797466315,0.2258284085476468
3,1,MacKenzie Gore,Rangers,Braves,7.67,21.0,0.9999280371624856,0.9990590858994982,0.9940626161373214,0.9758671387533939,0.9287863410224818,0.8367433814585485,0.6956108434605174,0.5217153948558005,0.3467330996973027,0.20140058232955158,0.10112114534580328,0.043460469080148015
4,32,Gavin Williams,Guardians,Pirates,7.33,22.3,0.9998425909696516,0.9981495693987925,0.9894587253350494,0.9611330113495162,0.8953544088720006,0.7795840685115728,0.6192207081604617,0.4400210165935047,0.27575463265712846,0.15083106166353866,0.07143519209872379,0.02909072833082251
5,40,Ryan Weathers,Yankees,Dodgers,7.0,23.7,0.9997786498937364,0.9975474408226,0.9867707010090112,0.9535783423831575,0.8803891916131501,0.7574314183195376,0.5938975798390329,0.41728103428008695,0.2596507673687285,0.1419535014082475,0.06780422385314448,0.028168064578234866
6,26,Taj Bradley,Twins,Cubs,6.67,24.7,0.9996206404667454,0.9961080521958692,0.9804965487697526,0.9361675884239894,0.8458678543863237,0.7054016014388438,0.5319864743431895,0.3576538068925317,0.21237658401698356,0.11074231286948076,0.050514596633923534,0.02009655813111685
7,29,Tarik Skubal,Tigers,Angels,5.67,24.3,0.9982750996700682,0.9857079686948508,0.9418352168081542,0.8441661143937226,0.6885059824207223,0.4994901078820777,0.3177873475368937,0.1759479478796837,0.084448870868671,0.035068416608759395,0.012582674043978219,0.003895000780312764
8,23,Max Meyer,Marlins,Brewers,5.0,21.7,0.9968865187887732,0.9763375427946769,0.9116082684132731,0.7821497196504656,0.597671287663465,0.39843458111750313,0.2290833805534365,0.11295684302379078,0.047635665663365044,0.01715244956183304,0.005263995282235556,0.0013732284270945607
9,28,Trevor Rogers,Orioles,Astros,5.0,24.0,0.9963270364220643,0.9731293717193127,0.902925912750459,0.7674455533368816,0.5802687409891761,0.38324051746527477,0.21905033119535763,0.10794419011045128,0.045812466477444434,0.016744993432762863,0.0052709909151254,0.0014280235647205067
10,41,Spencer Arrighetti,Astros,Orioles,4.89,22.3,0.9956695541523827,0.9689321155119852,0.890141660596913,0.742724902259293,0.5462057081282886,0.34765475174891325,0.1897721907968496,0.08849290900560469,0.03519791803053659,0.011931130323184358,0.003442369688832331,0.0008434230876986767
